,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,Avg counts in Cre-,Avg counts in Cre+
mt-Nd5,5361.631607,1.180264695,0.137228891,8.600701266,7.92E-18,1.11E-13,5552.1,5856.6
Tox,1003.991844,-1.710187247,0.213523513,-8.009362628,1.15E-15,8.09E-12,337.7,2787.5
Maf,811.5502108,-1.91883446,0.265667501,-7.222691728,5.10E-13,2.38E-09,292,2333.7
mt-Rnr2,157718.4336,1.025699473,0.14617024,7.017156667,2.26E-12,7.94E-09,149513.9,185279.6
Gzma,751.6172611,2.093546897,0.300536102,6.966041298,3.26E-12,9.15E-09,842,510.6
Cd3g,3258.918725,-0.758141217,0.109754199,-6.907628323,4.93E-12,1.15E-08,1846.7,7278.4
Lars2,1970.65211,1.440542796,0.210925607,6.829624973,8.51E-12,1.71E-08,1858.4,1871.6
Gzmk,779.843766,-1.170533333,0.176749428,-6.622557979,3.53E-11,6.19E-08,329,1907.6
mt-Rnr1,83006.51175,1.205959618,0.193745865,6.224440538,4.83E-10,7.54E-07,81291.3,90191.9
mt-Nd2,6663.059387,0.891769657,0.144247858,6.182203829,6.32E-10,8.87E-07,7086,8410
Coch,15.59661916,-5.882235227,0.970114127,-6.063446621,1.33E-09,1.47E-06,0.3,55
CT010467.1,209529.4637,1.091485056,0.179570585,6.078306521,1.21E-09,1.47E-06,186945.8,235337.4
Tcf7,532.0530769,1.618962057,0.267137843,6.060399525,1.36E-09,1.47E-06,567.5,469.1
Nkg7,7246.320903,-0.686907174,0.114004856,-6.025244856,1.69E-09,1.69E-06,4116.4,15834.8
AW112010,4266.308823,-0.755133584,0.126859513,-5.952518376,2.64E-09,2.47E-06,2542,9507.4
Il2rb,5102.447505,-0.579588731,0.097828584,-5.924533553,3.13E-09,2.75E-06,3074.6,10862.5
Glp1r,88.44652975,-2.219410422,0.380244898,-5.83679212,5.32E-09,4.39E-06,27,261
Gm15564,574.9689343,1.318991,0.227684531,5.793063743,6.91E-09,5.39E-06,563.4,584.7
Zfp36l2,829.6138317,1.207906911,0.213858209,5.648167142,1.62E-08,1.20E-05,787,870.6
Gm47586,500.3844513,-1.062116309,0.190738559,-5.56844047,2.57E-08,1.80E-05,273.8,1202.8
Syt11,367.6666859,-1.381887969,0.24902554,-5.549181706,2.87E-08,1.92E-05,160.3,940.1
Klf3,365.3152963,1.486509409,0.269568617,5.514400836,3.50E-08,2.23E-05,345.7,341.2
Sell,326.3257008,1.823386016,0.333834824,5.461940716,4.71E-08,2.75E-05,363.1,261.3
Tcrg-C2,765.1071003,-1.385123852,0.253376704,-5.466658265,4.59E-08,2.75E-05,341,1971
Ly6c2,1980.613565,0.915418808,0.169491453,5.400973271,6.63E-08,3.72E-05,1993.5,2463
Sfmbt2,11.63541394,7.786820813,1.446831926,5.381980224,7.37E-08,3.98E-05,20.9,0
Reep2,20.65952598,-5.101810138,0.959621679,-5.316480704,1.06E-07,5.50E-05,0.6,72.5
A030005L19Rik,11.10794943,-5.789134557,1.108604625,-5.222001087,1.77E-07,8.87E-05,0.2,39.7
Ncf4,321.4023625,-0.844513548,0.16292392,-5.183484101,2.18E-07,0.00010539,180.1,726.5
Ctsd,1635.339479,-0.587654769,0.113833392,-5.162411107,2.44E-07,0.000114045,974.3,3483.3
Sptbn1,593.699486,0.742331929,0.145690125,5.095279634,3.48E-07,0.000157646,566.1,788.4
Pdcd4,1172.461147,0.65631388,0.129635435,5.062766047,4.13E-07,0.000181221,1063.6,1587.2
Gm44292,183.6019907,-1.307096019,0.259431105,-5.03831651,4.70E-07,0.000199727,90.8,476
Dmxl2,10.01990891,-6.151165442,1.231412107,-4.995212737,5.88E-07,0.000242586,0,39.2
Il7r,1108.023565,0.980499946,0.197271106,4.970317082,6.68E-07,0.000268023,1000.3,1295.2
Ccl5,10991.15334,-0.929642705,0.188678055,-4.927137411,8.34E-07,0.000325289,5115.4,26378.8
Klhl30,13.69660655,-5.299079697,1.07793877,-4.915937568,8.84E-07,0.000326322,0.5,46.1
Rfx7,296.6310886,0.769108952,0.156331823,4.919721012,8.67E-07,0.000326322,291.1,390.7
Ccr5,754.1333723,-0.910812629,0.185816107,-4.901688249,9.50E-07,0.000341913,420,1748.7
Cmah,196.5763257,2.222146289,0.456374352,4.869130527,1.12E-06,0.000393269,202.4,124.4
Ltf,19.12629216,-7.082380456,1.460492625,-4.84930929,1.24E-06,0.000424074,0,68.1
Arl5c,115.3668855,1.083305413,0.224857192,4.81774855,1.45E-06,0.000470703,113.4,128.7
Ccr7,446.9913895,1.332621721,0.276793999,4.814489205,1.48E-06,0.000470703,465.3,454.3
Lef1,302.5050608,1.363439673,0.283158505,4.815111154,1.47E-06,0.000470703,336.7,294.3
Klf2,747.7201063,1.568965237,0.330022128,4.754121329,1.99E-06,0.000621586,723.6,659.1
mt-Co1,3260.510974,0.533312809,0.113616158,4.693987342,2.68E-06,0.000817421,3133.6,4785.1
Serbp1,3969.599231,0.361325979,0.077546277,4.659488405,3.17E-06,0.000946537,3396.8,6112.9
Fos,1505.040639,0.912017328,0.19690794,4.631694018,3.63E-06,0.001047856,1522.7,1798.2
Xcl1,582.3255328,1.412521981,0.30508763,4.629889386,3.66E-06,0.001047856,664.1,543.7
Gm6652,16.12459705,-4.916768132,1.064963961,-4.616839921,3.90E-06,0.001057895,0.9,56.6
Osgin1,195.5513416,-2.03449127,0.44078684,-4.615589866,3.92E-06,0.001057895,54,568.3
Ssh2,949.9235425,0.962471568,0.208418855,4.61796784,3.88E-06,0.001057895,861.9,1164.2
Ifi27l2a,2461.58434,-0.648862998,0.141247894,-4.593788818,4.35E-06,0.001152562,1533.1,5290
Ifitm1,708.1556192,1.303631831,0.284590267,4.580732316,4.63E-06,0.001191838,815.1,734.8
Sapcd2,13.27102792,-4.69686471,1.026573937,-4.575281469,4.76E-06,0.001191838,0.8,47
Usp9x,300.7141431,1.243231249,0.271679223,4.576099846,4.74E-06,0.001191838,288.3,319.8
Trpm1,9.513020084,-5.762467045,1.279379063,-4.504112356,6.67E-06,0.001641016,0.1,36.5
Foxp1,1112.948505,0.596181167,0.134213322,4.442041646,8.91E-06,0.002156138,1046.5,1573
Il18r1,637.0106472,0.770833135,0.173741148,4.436675724,9.14E-06,0.0021731,562.1,822.3
S1pr1,356.2101982,1.426760819,0.326119046,4.374969308,1.21E-05,0.002840705,355.4,342.2
Treml2,96.82622949,2.362752252,0.54443357,4.33983572,1.43E-05,0.003280488,107.5,54.2
Gpr146,65.91288853,2.633385771,0.607533292,4.334553851,1.46E-05,0.003306049,95.7,34.8
Gm2682,400.2565112,1.098462475,0.254236988,4.320624171,1.56E-05,0.003465918,399.9,468.6
Erbin,393.6414458,0.887925927,0.205793802,4.314638821,1.60E-05,0.003505519,367.2,498.9
Cxcr6,1888.625498,-0.76096192,0.176588289,-4.309243403,1.64E-05,0.00353687,988.7,4264.6
Adrb1,124.9898982,-2.2711143,0.530467925,-4.281341418,1.86E-05,0.003773954,39.6,373.1
Igfbp4,178.6526311,1.719112736,0.401363318,4.283183485,1.84E-05,0.003773954,291.7,149.3
Klf4,226.3342231,1.573298538,0.367730486,4.278401161,1.88E-05,0.003773954,279.2,200.6
Satb1,1082.181669,0.820922971,0.191771146,4.280742897,1.86E-05,0.003773954,1008.8,1359
Tirap,12.28077189,-3.91287919,0.913197938,-4.284809488,1.83E-05,0.003773954,1.2,36.3
