"Gene"	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"	"CreN"	"CreP"	"1"	"2"
"1"	"mt-Nd5"	5361.631607	1.180264695	0.137228891	8.600701266	7.92e-18	1.11e-13	5552.1	5856.6	0.000201614988188881	1.00015040770117
"2"	"Tox"	1003.991844	-1.710187247	0.213523513	-8.009362628	1.15e-15	8.09e-12	337.7	2787.5	0.000201604581868797	1.00015040023961
"3"	"Maf"	811.5502108	-1.91883446	0.265667501	-7.222691728	5.1e-13	2.38e-09	292	2333.7	0.000201604581868797	1.00015040023961
"4"	"mt-Rnr2"	157718.4336	1.025699473	0.14617024	7.017156667	2.26e-12	7.94e-09	149513.9	185279.6	0.000201614988188881	1.00015040770117
"5"	"Gzma"	751.6172611	2.093546897	0.300536102	6.966041298	3.26e-12	9.15e-09	842	510.6	0.95555303163467	0.0434045026866546
"6"	"Cd3g"	3258.918725	-0.758141217	0.109754199	-6.907628323	4.93e-12	1.15e-08	1846.7	7278.4	0.000201604581868797	1.00015040023961
"7"	"Lars2"	1970.65211	1.440542796	0.210925607	6.829624973	8.51e-12	1.71e-08	1858.4	1871.6	0.000203202050143736	1.0001504823719
"8"	"Gzmk"	779.843766	-1.170533333	0.176749428	-6.622557979	3.53e-11	6.19e-08	329	1907.6	0.000201604581868797	1.00015040023961
"9"	"mt-Rnr1"	83006.51175	1.205959618	0.193745865	6.224440538	4.83e-10	7.54e-07	81291.3	90191.9	0.000201614988188881	1.00015040770117
"10"	"mt-Nd2"	6663.059387	0.891769657	0.144247858	6.182203829	6.32e-10	8.87e-07	7086	8410	0.000201614988188881	1.00015040770117
"11"	"Coch"	15.59661916	-5.882235227	0.970114127	-6.063446621	1.33e-09	1.47e-06	0.3	55	0.000201604581868797	1.00015040023961
"12"	"CT010467.1"	209529.4637	1.091485056	0.179570585	6.078306521	1.21e-09	1.47e-06	186945.8	235337.4	0.000201614988188881	1.00015040770117
"13"	"Tcf7"	532.0530769	1.618962057	0.267137843	6.060399525	1.36e-09	1.47e-06	567.5	469.1	0.955553031634652	0.0434045026866459
"14"	"Nkg7"	7246.320903	-0.686907174	0.114004856	-6.025244856	1.69e-09	1.69e-06	4116.4	15834.8	0.000201604581868797	1.00015040023961
"15"	"AW112010"	4266.308823	-0.755133584	0.126859513	-5.952518376	2.64e-09	2.47e-06	2542	9507.4	0.000201604581868797	1.00015040023961
"16"	"Il2rb"	5102.447505	-0.579588731	0.097828584	-5.924533553	3.13e-09	2.75e-06	3074.6	10862.5	0.000201604581868797	1.00015040023961
"17"	"Glp1r"	88.44652975	-2.219410422	0.380244898	-5.83679212	5.32e-09	4.39e-06	27	261	0.000201604581868797	1.00015040023961
"18"	"Gm15564"	574.9689343	1.318991	0.227684531	5.793063743	6.91e-09	5.39e-06	563.4	584.7	0.000203187497064605	1.00015047994249
"19"	"Zfp36l2"	829.6138317	1.207906911	0.213858209	5.648167142	1.62e-08	1.2e-05	787	870.6	0.000201614988188881	1.00015040770117
"20"	"Gm47586"	500.3844513	-1.062116309	0.190738559	-5.56844047	2.57e-08	1.8e-05	273.8	1202.8	0.000201604581868797	1.00015040023961
"21"	"Syt11"	367.6666859	-1.381887969	0.24902554	-5.549181706	2.87e-08	1.92e-05	160.3	940.1	0.000201604581868797	1.00015040023961
"22"	"Klf3"	365.3152963	1.486509409	0.269568617	5.514400836	3.5e-08	2.23e-05	345.7	341.2	0.000206695567504023	1.00015104180143
"23"	"Sell"	326.3257008	1.823386016	0.333834824	5.461940716	4.71e-08	2.75e-05	363.1	261.3	0.95555303163467	0.0434045026866546
"24"	"Tcrg-C2"	765.1071003	-1.385123852	0.253376704	-5.466658265	4.59e-08	2.75e-05	341	1971	0.000201604581868797	1.00015040023961
"25"	"Ly6c2"	1980.613565	0.915418808	0.169491453	5.400973271	6.63e-08	3.72e-05	1993.5	2463	0.000201614988188881	1.00015040770117
"26"	"Sfmbt2"	11.63541394	7.786820813	1.446831926	5.381980224	7.37e-08	3.98e-05	20.9	0	0.955551742451016	0.0434039130398916
"27"	"Reep2"	20.65952598	-5.101810138	0.959621679	-5.316480704	1.06e-07	5.5e-05	0.6	72.5	0.000201604581868797	1.00015040023961
"28"	"A030005L19Rik"	11.10794943	-5.789134557	1.108604625	-5.222001087	1.77e-07	8.87e-05	0.2	39.7	0.000201604581868797	1.00015040023961
"29"	"Ncf4"	321.4023625	-0.844513548	0.16292392	-5.183484101	2.18e-07	0.00010539	180.1	726.5	0.000201604581868797	1.00015040023961
"30"	"Ctsd"	1635.339479	-0.587654769	0.113833392	-5.162411107	2.44e-07	0.000114045	974.3	3483.3	0.000201604581868797	1.00015040023961
"31"	"Sptbn1"	593.699486	0.742331929	0.145690125	5.095279634	3.48e-07	0.000157646	566.1	788.4	0.000201604581868797	1.00015040023961
"32"	"Pdcd4"	1172.461147	0.65631388	0.129635435	5.062766047	4.13e-07	0.000181221	1063.6	1587.2	0.000201604581868797	1.00015040023961
"33"	"Gm44292"	183.6019907	-1.307096019	0.259431105	-5.03831651	4.7e-07	0.000199727	90.8	476	0.000201604581868797	1.00015040023961
"34"	"Dmxl2"	10.01990891	-6.151165442	1.231412107	-4.995212737	5.88e-07	0.000242586	0	39.2	0.000201604581868797	1.00015040023961
"35"	"Il7r"	1108.023565	0.980499946	0.197271106	4.970317082	6.68e-07	0.000268023	1000.3	1295.2	0.000201614988188881	1.00015040770117
"36"	"Ccl5"	10991.15334	-0.929642705	0.188678055	-4.927137411	8.34e-07	0.000325289	5115.4	26378.8	0.000201604581868797	1.00015040023961
"37"	"Klhl30"	13.69660655	-5.299079697	1.07793877	-4.915937568	8.84e-07	0.000326322	0.5	46.1	0.000201604581868797	1.00015040023961
"38"	"Rfx7"	296.6310886	0.769108952	0.156331823	4.919721012	8.67e-07	0.000326322	291.1	390.7	0.00020160458187013	1.00015040023961
"39"	"Ccr5"	754.1333723	-0.910812629	0.185816107	-4.901688249	9.5e-07	0.000341913	420	1748.7	0.000201604581868797	1.00015040023961
"40"	"Cmah"	196.5763257	2.222146289	0.456374352	4.869130527	1.12e-06	0.000393269	202.4	124.4	0.955551742712704	0.0434039131592971
"41"	"Ltf"	19.12629216	-7.082380456	1.460492625	-4.84930929	1.24e-06	0.000424074	0	68.1	0.000201604581868797	1.00015040023961
"42"	"Arl5c"	115.3668855	1.083305413	0.224857192	4.81774855	1.45e-06	0.000470703	113.4	128.7	0.00020164482997459	1.00015043072385
"43"	"Ccr7"	446.9913895	1.332621721	0.276793999	4.814489205	1.48e-06	0.000470703	465.3	454.3	0.000203239010403089	1.00015048941269
"44"	"Lef1"	302.5050608	1.363439673	0.283158505	4.815111154	1.47e-06	0.000470703	336.7	294.3	0.955553030349399	0.043404502098026
"45"	"Klf2"	747.7201063	1.568965237	0.330022128	4.754121329	1.99e-06	0.000621586	723.6	659.1	0.955551270416354	0.0434036988752897
"46"	"mt-Co1"	3260.510974	0.533312809	0.113616158	4.693987342	2.68e-06	0.000817421	3133.6	4785.1	0.000201604581868797	1.00015040023961
"47"	"Serbp1"	3969.599231	0.361325979	0.077546277	4.659488405	3.17e-06	0.000946537	3396.8	6112.9	0.000201604581868797	1.00015040023961
"48"	"Fos"	1505.040639	0.912017328	0.19690794	4.631694018	3.63e-06	0.001047856	1522.7	1798.2	0.000201614988188881	1.00015040770117
"49"	"Xcl1"	582.3255328	1.412521981	0.30508763	4.629889386	3.66e-06	0.001047856	664.1	543.7	0.955553031634665	0.0434045026866523
"50"	"Gm6652"	16.12459705	-4.916768132	1.064963961	-4.616839921	3.9e-06	0.001057895	0.9	56.6	0.000201604581868797	1.00015040023961
"51"	"Osgin1"	195.5513416	-2.03449127	0.44078684	-4.615589866	3.92e-06	0.001057895	54	568.3	0.000201604581868797	1.00015040023961
"52"	"Ssh2"	949.9235425	0.962471568	0.208418855	4.61796784	3.88e-06	0.001057895	861.9	1164.2	0.000201604581868797	1.00015040023961
"53"	"Ifi27l2a"	2461.58434	-0.648862998	0.141247894	-4.593788818	4.35e-06	0.001152562	1533.1	5290	0.000201604581868797	1.00015040023961
"54"	"Ifitm1"	708.1556192	1.303631831	0.284590267	4.580732316	4.63e-06	0.001191838	815.1	734.8	0.9555517346489	0.0434039101969814
"55"	"Sapcd2"	13.27102792	-4.69686471	1.026573937	-4.575281469	4.76e-06	0.001191838	0.8	47	0.000201604581868797	1.00015040023961
"56"	"Usp9x"	300.7141431	1.243231249	0.271679223	4.576099846	4.74e-06	0.001191838	288.3	319.8	0.000201614988315668	1.00015040770126
"57"	"Trpm1"	9.513020084	-5.762467045	1.279379063	-4.504112356	6.67e-06	0.001641016	0.1	36.5	0.000201604581868686	1.00015040023961
"58"	"Foxp1"	1112.948505	0.596181167	0.134213322	4.442041646	8.91e-06	0.002156138	1046.5	1573	0.000201604581868797	1.00015040023961
"59"	"Il18r1"	637.0106472	0.770833135	0.173741148	4.436675724	9.14e-06	0.0021731	562.1	822.3	0.000201604581868797	1.00015040023961
"60"	"S1pr1"	356.2101982	1.426760819	0.326119046	4.374969308	1.21e-05	0.002840705	355.4	342.2	0.000253918423174793	1.00015518890973
"61"	"Treml2"	96.82622949	2.362752252	0.54443357	4.33983572	1.43e-05	0.003280488	107.5	54.2	0.955551742956577	0.0434039132705739
"62"	"Gpr146"	65.91288853	2.633385771	0.607533292	4.334553851	1.46e-05	0.003306049	95.7	34.8	0.955553031587154	0.0434045026648711
"63"	"Gm2682"	400.2565112	1.098462475	0.254236988	4.320624171	1.56e-05	0.003465918	399.9	468.6	0.000201614988188881	1.00015040770117
"64"	"Erbin"	393.6414458	0.887925927	0.205793802	4.314638821	1.6e-05	0.003505519	367.2	498.9	0.000201604581868797	1.00015040023961
"65"	"Cxcr6"	1888.625498	-0.76096192	0.176588289	-4.309243403	1.64e-05	0.00353687	988.7	4264.6	0.000201604581868797	1.00015040023961
"66"	"Adrb1"	124.9898982	-2.2711143	0.530467925	-4.281341418	1.86e-05	0.003773954	39.6	373.1	0.000201604581868797	1.00015040023961
"67"	"Igfbp4"	178.6526311	1.719112736	0.401363318	4.283183485	1.84e-05	0.003773954	291.7	149.3	0.95555303163467	0.0434045026866546
"68"	"Klf4"	226.3342231	1.573298538	0.367730486	4.278401161	1.88e-05	0.003773954	279.2	200.6	0.955553031634667	0.0434045026866532
"69"	"Satb1"	1082.181669	0.820922971	0.191771146	4.280742897	1.86e-05	0.003773954	1008.8	1359	0.000201604581868797	1.00015040023961
"70"	"Tirap"	12.28077189	-3.91287919	0.913197938	-4.284809488	1.83e-05	0.003773954	1.2	36.3	0.000201604581869241	1.00015040023961
"71"	"Kmt5b"	374.7037247	0.937380137	0.219480425	4.270905426	1.95e-05	0.003848102	337.7	463.6	0.000201604581869019	1.00015040023961
"72"	"Mme"	34.03156415	10.52351922	2.473292879	4.25486173	2.09e-05	0.004077233	75.1	0.1	0.95555174362762	0.0434039135767656
"73"	"Cdk6"	2234.140575	-0.710122705	0.167866363	-4.230285873	2.33e-05	0.004253842	1405.2	4974.3	0.000201604581868797	1.00015040023961
"74"	"Ptprc"	6091.394394	0.521261975	0.123191853	4.231302325	2.32e-05	0.004253842	4959.4	8895.3	0.000201604581868797	1.00015040023961
"75"	"Rock2"	540.9517809	0.785913881	0.18565086	4.233289738	2.3e-05	0.004253842	511.6	714.8	0.000201604581868797	1.00015040023961
"76"	"Rplp1"	4430.302469	0.452748696	0.106743384	4.24146846	2.22e-05	0.004253842	4022.6	6582	0.000201604581868797	1.00015040023961
"77"	"Tet1"	14.36809424	6.317925091	1.491670163	4.235470581	2.28e-05	0.004253842	17.6	0.6	0.955551742448934	0.0434039130389417
"78"	"Actn1"	262.5189201	1.135482648	0.269306802	4.216316256	2.48e-05	0.004356249	332.2	280.8	0.95555303145168	0.043404502602849
"79"	"Baz2b"	220.0556755	1.464740014	0.347180207	4.218961752	2.45e-05	0.004356249	203.9	202.3	0.955532355333208	0.0433955388484352
"80"	"Spo11"	13.20909717	-5.725765848	1.356172948	-4.222002701	2.42e-05	0.004356249	0.3	44	0.000201604581868797	1.00015040023961
"81"	"mt-Nd6"	5677.96798	0.506419637	0.120767014	4.193360586	2.75e-05	0.004762066	5631	8457	0.000201604581868797	1.00015040023961
"82"	"Igkc"	139.349682	-1.730105259	0.413331872	-4.185753332	2.84e-05	0.004805747	47.4	393.8	0.000201604581868797	1.00015040023961
"83"	"Rgs10"	181.0750785	1.120332639	0.267609873	4.186439868	2.83e-05	0.004805747	202.6	196.2	0.955545507987769	0.0434011098984192
"84"	"Fam120a"	662.900679	0.493703844	0.119592204	4.12822766	3.66e-05	0.005830012	589.7	985	0.000201604581868797	1.00015040023961
"85"	"Gzmc"	271.2624863	1.574833708	0.381324764	4.129901479	3.63e-05	0.005830012	383	235.7	0.95555303163467	0.0434045026866546
"86"	"Npm1"	1073.458339	0.66987828	0.16217603	4.130562819	3.62e-05	0.005830012	1093.2	1449.8	0.000201604581868797	1.00015040023961
"87"	"Prf1"	1522.533205	-0.952507965	0.230695463	-4.12885434	3.65e-05	0.005830012	742.4	3522.7	0.000201604581868797	1.00015040023961
"88"	"Ptpn7"	723.2347385	-0.649701823	0.15701511	-4.137829951	3.51e-05	0.005830012	470.1	1551.4	0.000201604581868797	1.00015040023961
"89"	"Ighm"	247.6453696	1.349118263	0.327470496	4.119816219	3.79e-05	0.005979031	233.7	245	0.000203181119810325	1.00015048104563
"90"	"Filip1l"	229.4158203	1.097463392	0.266810099	4.113275305	3.9e-05	0.006082721	265.9	252.6	0.955548231885176	0.0434023260343759
"91"	"Arntl"	119.9344309	-1.341648492	0.326645683	-4.107351056	4e-05	0.006172226	43.4	310.4	0.000201604581868797	1.00015040023961
"92"	"Prrc2c"	2716.026591	0.577957433	0.140930469	4.101011203	4.11e-05	0.006274855	2255.7	3853.2	0.000201604581868797	1.00015040023961
"93"	"Shq1"	10.74791268	-4.63261226	1.130338582	-4.098428855	4.16e-05	0.006277032	0.6	38.1	0.000201604581868908	1.00015040023961
"94"	"Mrgpre"	11.94493495	-6.087837585	1.486800429	-4.094589607	4.23e-05	0.006314058	0.1	41.5	0.000201604581868797	1.00015040023961
"95"	"Tnfsf8"	139.0482887	1.659440147	0.406557079	4.081690456	4.47e-05	0.006604743	163.3	116.7	0.95555303163387	0.0434045026862887
"96"	"Aopep"	429.5202118	-0.733331117	0.181218205	-4.046674663	5.2e-05	0.007221467	250.3	975.3	0.000201604581868797	1.00015040023961
"97"	"Cd38"	253.6190199	-1.218385786	0.300864649	-4.049614307	5.13e-05	0.007221467	110.8	617.5	0.000201604581868797	1.00015040023961
"98"	"Gm37469"	10.26046212	7.017174436	1.729891816	4.056423859	4.98e-05	0.007221467	15.3	5.2	0.95555174243541	0.0434039130327764
"99"	"Sbsn"	7.336418726	6.805817339	1.679041677	4.053393929	5.05e-05	0.007221467	7.8	0.1	0.955551742422081	0.0434039130266992
"100"	"Txk"	723.7317037	0.797653507	0.19711797	4.046579357	5.2e-05	0.007221467	647.7	962.2	0.000201604581868797	1.00015040023961
"101"	"Ube2k"	409.9454458	0.549407828	0.135720521	4.048082205	5.16e-05	0.007221467	356.3	605.1	0.000201604581868797	1.00015040023961
"102"	"1700017B05Rik"	637.6689188	-0.715765517	0.177426625	-4.034149433	5.48e-05	0.007539895	394.3	1404.9	0.000201604581868797	1.00015040023961
"103"	"AC135016.1"	9.881090501	-4.669200483	1.162467825	-4.016627713	5.9e-05	0.008043918	0.6	32.7	0.000201604581869297	1.00015040023961
"104"	"Emb"	1686.123709	0.744024048	0.185431584	4.01239116	6.01e-05	0.00811095	1485.2	2183.2	0.000201604581868797	1.00015040023961
"105"	"AC124578.3"	11.31705095	4.303002494	1.076603091	3.996832752	6.42e-05	0.008580203	16.8	2.2	0.955551742425749	0.0434039130283718
"106"	"Entpd1"	371.6733612	-0.803853768	0.201236616	-3.994570094	6.48e-05	0.008580831	208.8	839.7	0.000201604581868797	1.00015040023961
"107"	"Myo9a"	266.5508762	1.155541378	0.290589417	3.97654323	6.99e-05	0.009171192	221.6	291.2	0.000201614072301626	1.00015040252568
"108"	"Map4k4"	783.4038055	0.563001701	0.142018048	3.964296862	7.36e-05	0.009565548	742.4	1110.7	0.000201604581868797	1.00015040023961
"109"	"Jun"	782.0970417	0.9316621	0.235262348	3.960098625	7.49e-05	0.009645969	749.7	966.8	0.000201605177441111	1.00015040075918
"110"	"Nfatc1"	924.4963405	-0.523701192	0.132552511	-3.950896037	7.79e-05	0.009933411	536.8	1910.6	0.000201604581868797	1.00015040023961
"111"	"Gm20275"	9.986823209	-5.868927167	1.492459813	-3.932385391	8.41e-05	0.01060647	0.1	31.9	0.000201604581869019	1.00015040023961
"112"	"Gm45380"	7.222378804	5.898985222	1.5006896	3.930849672	8.46e-05	0.01060647	8.9	5.8	0.955551737728475	0.0434039108825391
"113"	"Gm12739"	10.02667215	-3.508618439	0.901007579	-3.894105357	9.86e-05	0.012240853	1.3	35.2	0.000201604581869408	1.00015040023961
"114"	"AC148016.1"	7.22844985	7.093799435	1.832969927	3.870112287	0.000108785	0.013275583	9.8	0	0.95555174243383	0.0434039130320562
"115"	"Cacna2d4"	8.34967326	7.013026096	1.812081708	3.870148938	0.000108769	0.013275583	14	0.1	0.955551742445373	0.0434039130373182
"116"	"Gm8995"	1380.047063	0.71749061	0.18572955	3.863093463	0.00011196	0.013545247	1167.9	1879.5	0.000201604581868797	1.00015040023961
"117"	"Osbpl3"	626.7207242	-0.807528512	0.209535872	-3.853891485	0.000116255	0.013944655	368.8	1414.6	0.000201604581868797	1.00015040023961
"118"	"Il12rb1"	136.8605936	-1.272450291	0.331305116	-3.840720315	0.000122674	0.014589868	66	341.6	0.000201604581868797	1.00015040023961
"119"	"B930095G15Rik"	231.5430418	-1.138291341	0.298014584	-3.819582676	0.000133678	0.015764976	112.9	564.3	0.000201604581868797	1.00015040023961
"120"	"Rgcc"	296.6398578	1.175517912	0.308944032	3.804954264	0.00014183	0.016555323	305	315.2	0.000201615269405819	1.00015040779755
"121"	"Trac"	4493.905841	-0.382448858	0.100555155	-3.803373948	0.000142739	0.016555323	2930.2	9036.5	0.000201604581868797	1.00015040023961
"122"	"Itgb1"	1261.882532	0.657572179	0.173032955	3.800271333	0.000144538	0.016626579	1298.2	1743.5	0.000201604581868797	1.00015040023961
"123"	"H2-K1"	17512.47854	-0.261256273	0.069268445	-3.771649155	0.000162172	0.018503449	12199.7	33890.1	0.000201604581868797	1.00015040023961
"124"	"Prr13"	1042.737982	-0.421610334	0.11200112	-3.764340344	0.000166989	0.01889942	690.5	2132.5	0.000201604581868797	1.00015040023961
"125"	"Ctla4"	1341.673872	-0.88771463	0.236172934	-3.758748373	0.000170765	0.019157827	670.9	3093.1	0.000201604581868797	1.00015040023961
"126"	"Gm29488"	9.504602964	-5.174751825	1.37811033	-3.75496193	0.000173368	0.019157827	0.3	36.8	0.000201604581868908	1.00015040023961
"127"	"Hivep1"	198.2557282	1.08511786	0.288834764	3.756881074	0.000172044	0.019157827	177.2	215.8	0.000201614853534704	1.00015040675121
"128"	"Dapl1"	108.2063405	1.77443137	0.473514761	3.747362311	0.000178704	0.019593204	120.6	83.4	0.955553025287658	0.0434044997769385
"129"	"Adgrg1"	243.4255403	-1.489046496	0.398204617	-3.73940038	0.00018446	0.019784629	90	643.7	0.000201604581868797	1.00015040023961
"130"	"Chd4"	1537.769153	0.411819343	0.110138581	3.739101582	0.000184679	0.019784629	1302.4	2321.6	0.000201604581868797	1.00015040023961
"131"	"Optn"	16.97472977	-4.343588053	1.161221644	-3.74053315	0.00018363	0.019784629	1.6	52.5	0.000201604581868908	1.00015040023961
"132"	"Ppp2r2c"	131.8467298	-1.523230124	0.407812241	-3.735126049	0.000187621	0.019947544	52.9	335.5	0.000201604581868797	1.00015040023961
"133"	"Gpd2"	548.9494656	-0.798983806	0.214283438	-3.728630707	0.000192523	0.0203148	324.5	1220.7	0.000201604581868797	1.00015040023961
"134"	"Slc16a6"	262.7357956	-0.915018034	0.245724042	-3.723762742	0.000196275	0.020556185	136.4	619.2	0.000201604581868797	1.00015040023961
"135"	"Tsc22d3"	742.9577604	0.887049032	0.239127878	3.709517435	0.000207655	0.021586855	623.7	923	0.000201604581868797	1.00015040023961
"136"	"Trip11"	685.3393922	0.726501291	0.196197444	3.702909045	0.000213141	0.021994303	568.1	929.1	0.000201604581868797	1.00015040023961
"137"	"Brwd3"	165.2706833	0.96229092	0.260055747	3.700325526	0.000215323	0.022057256	141.6	203.5	0.000201604238723063	1.00015039984241
"138"	"Gm16433"	10.57469174	-4.89482045	1.326449521	-3.690167152	0.000224107	0.022790682	0.5	34.6	0.000201604581869019	1.00015040023961
"139"	"Arnt2"	54.89838558	-2.770290867	0.752593868	-3.680990486	0.00023233	0.02345694	10.7	172.9	0.000201604581868797	1.00015040023961
"140"	"Baiap3"	210.2608431	-0.983085151	0.267808538	-3.670850666	0.000241745	0.023979103	116.4	487.5	0.000201604581868797	1.00015040023961
"141"	"Gm4796"	6.947730819	-4.674400852	1.273757618	-3.669772638	0.000242766	0.023979103	0.3	26.7	0.000201604581871961	1.00015040023961
"142"	"Psen2"	245.6854237	0.78577971	0.214218375	3.668124689	0.000244336	0.023979103	233.2	330.2	0.000201604581868797	1.00015040023961
"143"	"Zmynd11"	349.8345264	0.786013802	0.214016253	3.672682751	0.000240017	0.023979103	330.4	456.1	0.000201604581868797	1.00015040023961
"144"	"Ahnak"	3748.386075	0.323603217	0.088496287	3.656686945	0.000255496	0.024866639	3040.1	5949.9	0.000201604581868797	1.00015040023961
"145"	"Pik3ip1"	128.5553046	1.276572433	0.349242763	3.655258086	0.000256923	0.024866639	136.9	132	0.955552498896663	0.0434042589351392
"146"	"Tnks"	171.3290799	0.777323223	0.213253047	3.645074397	0.000267314	0.025695145	166.1	225.4	0.000201604583720427	1.00015040024128
"147"	"Id2"	2977.867984	-0.409211698	0.112471266	-3.638366602	0.000274373	0.026194192	1962.9	6075.8	0.000201604581868797	1.00015040023961
"148"	"Il6ra"	161.6148143	1.616178782	0.44456507	3.63541558	0.000277533	0.026316867	205.6	136.1	0.955553031634665	0.0434045026866524
"149"	"Ccl3"	1494.800124	-0.873989406	0.241040016	-3.625910001	0.000287946	0.02675464	771.5	3489.6	0.000201604581868797	1.00015040023961
"150"	"Gm26917"	2357.179416	0.562430585	0.155108435	3.626047711	0.000287792	0.02675464	1984.8	3352	0.000201604581868797	1.00015040023961
"151"	"Naa15"	380.3641858	0.691152391	0.190580444	3.626565124	0.000287216	0.02675464	386.9	513.8	0.000201604581868797	1.00015040023961
"152"	"Spata24"	14.70373596	-3.660728908	1.010058771	-3.624273174	0.000289775	0.02675464	2.2	46.9	0.000201604581868908	1.00015040023961
"153"	"Mcpt4"	31.17531269	5.270956876	1.458467166	3.614038766	0.000301464	0.027651929	25.5	2.4	0.955551742449216	0.043403913039071
"154"	"Zfp36l1"	527.4593748	0.857249052	0.237493405	3.609569926	0.000306705	0.027949995	538.6	675.5	0.000201614955451901	1.00015040767981
"155"	"Nedd9"	805.1043309	-0.698219144	0.193567605	-3.607107418	0.00030963	0.028034454	442.5	1762.5	0.000201604581868797	1.00015040023961
"156"	"E030030I06Rik"	13.95211712	-3.48841846	0.968218467	-3.602924938	0.000314656	0.028306975	1.4	40.7	0.000201604581867798	1.00015040023961
"157"	"Trps1"	640.0748264	-0.834557299	0.231746417	-3.601165923	0.000316793	0.02831769	417.1	1434.7	0.000201604581868797	1.00015040023961
"158"	"Rasd2"	96.2525622	-2.946976622	0.821597826	-3.586884638	0.000334652	0.029724748	11.5	307.9	0.000201604581868575	1.00015040023961
"159"	"Pabpc1"	2524.554659	0.468392463	0.130721197	3.583140869	0.000339487	0.029964567	2318.4	3774.6	0.000201604581868797	1.00015040023961
"160"	"Gm10715"	7.001427864	-4.728272926	1.322416201	-3.575480187	0.000349586	0.030137957	0.3	26.2	0.000201604581872905	1.00015040023961
"161"	"Itgae"	104.7304125	1.916135487	0.535826371	3.576038044	0.000348841	0.030137957	140.1	75.6	0.955553031634668	0.0434045026866536
"162"	"Serpina3g"	1221.767565	-0.716399801	0.200127705	-3.579713261	0.000343971	0.030137957	715.5	2646.7	0.000201604581868797	1.00015040023961
"163"	"Slamf6"	221.3069361	1.096946823	0.30682634	3.575139034	0.000350042	0.030137957	193.4	248.1	0.000201614888265478	1.00015040698969
"164"	"Apbb1ip"	736.8293505	0.633310516	0.177355382	3.570855924	0.000355817	0.030448354	606.1	1042.2	0.000201604581868797	1.00015040023961
"165"	"Fbxo17"	6.880613787	6.726815518	1.898370565	3.543468089	0.000394901	0.033588133	10.3	0.1	0.955551742417991	0.043403913024835
"166"	"Gm20404"	7.801139473	-5.787848049	1.634702973	-3.54061144	0.000399201	0.033749319	0	26	0.00020160458187013	1.00015040023961
"167"	"Bzw2"	308.5671876	0.955654353	0.270186191	3.537021449	0.000404667	0.03386627	309.5	371.3	0.000201614988188881	1.00015040770117
"168"	"Pim2"	210.2528932	1.098554412	0.310630033	3.536536372	0.000405411	0.03386627	214.1	235.3	0.000201615002059841	1.00015040771134
"169"	"Irgm1"	325.1594187	0.677790619	0.192007306	3.530025146	0.00041552	0.034505385	292.4	444.5	0.000201604581868797	1.00015040023961
"170"	"Litaf"	825.1864248	-0.81506603	0.231040086	-3.527812179	0.000419009	0.034590454	505.4	1891.3	0.000201604581868797	1.00015040023961
"171"	"Ablim1"	2298.970906	0.3924862	0.11137839	3.52389903	0.000425246	0.034900035	1989.3	3543.3	0.000201604581868797	1.00015040023961
"172"	"Cep350"	592.2081624	0.734208453	0.209342801	3.507206601	0.000452837	0.036528319	507.1	804.8	0.000201604581868797	1.00015040023961
"173"	"Gm1966"	678.2197247	0.862629825	0.246044221	3.505995062	0.000454904	0.036528319	578.5	867.8	0.000201604581868797	1.00015040023961
"174"	"Hist1h2ae"	337.216573	1.188627434	0.339207515	3.504130606	0.000458101	0.036528319	293.9	374.6	0.00020161498795479	1.00015040769945
"175"	"Klhl9"	145.2446405	1.431984275	0.408581113	3.504773543	0.000456996	0.036528319	140.6	131.7	0.955551963910208	0.0434040142151135
"176"	"Tmem241"	45.59329016	-2.19346859	0.625738597	-3.505407212	0.000455909	0.036528319	15.7	131.3	0.000201604581868797	1.00015040023961
"177"	"Spef2"	42.91197913	3.537932158	1.010790463	3.500163772	0.000464972	0.036866795	43	13.8	0.955551742449215	0.04340391303907
"178"	"Gm16303"	53.69028661	3.459591839	0.989148141	3.497546723	0.000469558	0.037021255	59.7	18.6	0.955551742451007	0.0434039130398873
"179"	"Zfp326"	144.4678422	1.223540021	0.350403993	3.491798171	0.000479781	0.037615874	138.6	149.8	0.000201622993411088	1.00015041368366
"180"	"Evl"	238.5877565	0.996047292	0.286300247	3.479030505	0.000503231	0.039235267	213.6	271.4	0.000201614988163568	1.00015040770098
"181"	"Gpr183"	828.1587672	0.722364414	0.207783	3.476532791	0.000507942	0.039383755	728.6	1127.2	0.000201604581868797	1.00015040023961
"182"	"Cep57"	237.6203509	0.724650707	0.209163517	3.4645177	0.000531183	0.040959477	204.6	315	0.000201604581868631	1.00015040023961
"183"	"Fam76b"	309.1209023	0.868501591	0.251096824	3.458831454	0.000542524	0.041379271	274.7	390.9	0.000201604581868797	1.00015040023961
