© 2000-2020 QIAGEN. All rights reserved.				
				
Ingenuity Canonical Pathways	 -log(p-value)	Ratio	z-score	Molecules
Th1 and Th2 Activation Pathway	7.84E+00	4.65E-02	NaN	"CCR5,CD3G,CXCR6,HLA-A,IL12RB1,IL2RB,MAF,NFATC1"
Th2 Pathway	7.19E+00	5.11E-02	0.816	"CCR5,CD3G,CXCR6,HLA-A,IL12RB1,IL2RB,MAF"
T Cell Exhaustion Signaling Pathway	5.21E+00	3.43E-02	2	"CTLA4,HLA-A,IL12RB1,NFATC1,PPP2R2C,RASD2"
T Cell Receptor Signaling	5.11E+00	4.76E-02	NaN	"CD3G,CTLA4,NFATC1,PTPN7,RASD2"
Th1 Pathway	4.79E+00	4.10E-02	NaN	"CCR5,CD3G,HLA-A,IL12RB1,NFATC1"
CTLA4 Signaling in Cytotoxic T Lymphocytes	4.07E+00	4.49E-02	NaN	"CD3G,CTLA4,HLA-A,PPP2R2C"
Cytotoxic T Lymphocyte-mediated Apoptosis of Target Cells	4.03E+00	8.82E-02	NaN	"CD3G,HLA-A,PRF1"
iCOS-iCOSL Signaling in T Helper Cells	3.70E+00	3.60E-02	NaN	"CD3G,HLA-A,IL2RB,NFATC1"
Pathogenesis of Multiple Sclerosis	3.63E+00	2.22E-01	NaN	"CCL5,CCR5"
CD28 Signaling in T Helper Cells	3.57E+00	3.33E-02	NaN	"CD3G,CTLA4,HLA-A,NFATC1"
Nur77 Signaling in T Lymphocytes	3.31E+00	5.08E-02	NaN	"CD3G,HLA-A,NFATC1"
PKCθ Signaling in T Lymphocytes	3.15E+00	2.58E-02	NaN	"CD3G,HLA-A,NFATC1,RASD2"
Chemokine Signaling	2.93E+00	3.75E-02	NaN	"CCL5,CCR5,RASD2"
Role of NFAT in Regulation of the Immune Response	2.90E+00	2.21E-02	NaN	"CD3G,HLA-A,NFATC1,RASD2"
IL-4 Signaling	2.85E+00	3.53E-02	NaN	"HLA-A,NFATC1,RASD2"
Ceramide Signaling	2.81E+00	3.41E-02	NaN	"CTSD,PPP2R2C,RASD2"
Crosstalk between Dendritic Cells and Natural Killer Cells	2.79E+00	3.37E-02	NaN	"HLA-A,IL2RB,PRF1"
Regulation of IL-2 Expression in Activated and Anergic T Lymphocytes	2.79E+00	3.37E-02	NaN	"CD3G,NFATC1,RASD2"
Systemic Lupus Erythematosus In T Cell Signaling Pathway	2.76E+00	1.50E-02	NaN	"CD3G,HLA-A,PPP2R2C,RASD2,Trac"
CCR5 Signaling in Macrophages	2.73E+00	3.19E-02	NaN	"CCL5,CCR5,CD3G"
Communication between Innate and Adaptive Immune Cells	2.70E+00	3.12E-02	NaN	"CCL3L3,CCL5,HLA-A"
Telomerase Signaling	2.57E+00	2.80E-02	NaN	"IL2RB,PPP2R2C,RASD2"
Systemic Lupus Erythematosus Signaling	2.52E+00	1.74E-02	NaN	"CD3G,HLA-A,NFATC1,RASD2"
Type I Diabetes Mellitus Signaling	2.52E+00	2.70E-02	NaN	"CD3G,HLA-A,PRF1"
STAT3 Pathway	2.28E+00	2.22E-02	NaN	"IL12RB1,IL2RB,RASD2"
Role of Hypercytokinemia/hyperchemokinemia in the Pathogenesis of Influenza	2.25E+00	4.65E-02	NaN	"CCL5,CCR5"
Graft-versus-Host Disease Signaling	2.16E+00	4.17E-02	NaN	"HLA-A,PRF1"
Autoimmune Thyroid Disease Signaling	2.14E+00	4.08E-02	NaN	"HLA-A,PRF1"
Neuroinflammation Signaling Pathway	2.12E+00	1.33E-02	1	"CCL5,HLA-A,NFATC1,TIRAP"
Thyroid Hormone Biosynthesis	2.11E+00	3.33E-01	NaN	CTSD
Glycerol-3-phosphate Shuttle	2.11E+00	3.33E-01	NaN	GPD2
Cardiac Hypertrophy Signaling (Enhanced)	2.07E+00	1.03E-02	2	"ADRB1,IL12RB1,IL2RB,NFATC1,RASD2"
IL-2 Signaling	1.96E+00	3.28E-02	NaN	"IL2RB,RASD2"
Glucocorticoid Receptor Signaling	1.95E+00	1.19E-02	NaN	"CCL5,CD3G,NFATC1,RASD2"
Role of PI3K/AKT Signaling in the Pathogenesis of Influenza	1.92E+00	3.12E-02	NaN	"CCL5,CCR5"
Calcium-induced T Lymphocyte Apoptosis	1.89E+00	3.03E-02	NaN	"CD3G,HLA-A"
Regulation of Cellular Mechanics by Calpain Protease	1.89E+00	3.03E-02	NaN	"CDK6,RASD2"
ERK/MAPK Signaling	1.86E+00	1.55E-02	NaN	"NFATC1,PPP2R2C,RASD2"
Role of JAK1 and JAK3 in γc Cytokine Signaling	1.86E+00	2.90E-02	NaN	"IL2RB,RASD2"
IL-15 Signaling	1.83E+00	2.82E-02	NaN	"IL2RB,RASD2"
T Helper Cell Differentiation	1.81E+00	2.74E-02	NaN	"HLA-A,IL12RB1"
Non-Small Cell Lung Cancer Signaling	1.81E+00	2.74E-02	NaN	"CDK6,RASD2"
Glycerol Degradation I	1.81E+00	1.67E-01	NaN	GPD2
GPCR-Mediated Integration of Enteroendocrine Signaling Exemplified by an L Cell	1.81E+00	2.74E-02	NaN	"ADRB1,GLP1R"
Role of MAPK Signaling in the Pathogenesis of Influenza	1.76E+00	2.56E-02	NaN	"CCL5,RASD2"
Cyclins and Cell Cycle Regulation	1.73E+00	2.47E-02	NaN	"CDK6,PPP2R2C"
NF-κB Activation by Viruses	1.72E+00	2.44E-02	NaN	"CCR5,RASD2"
HER-2 Signaling in Breast Cancer	1.70E+00	2.38E-02	NaN	"CDK6,RASD2"
Allograft Rejection Signaling	1.68E+00	2.33E-02	NaN	"HLA-A,PRF1"
OX40 Signaling Pathway	1.64E+00	2.22E-02	NaN	"CD3G,HLA-A"
Th17 Activation Pathway	1.63E+00	2.20E-02	NaN	"IL12RB1,NFATC1"
SAPK/JNK Signaling	1.54E+00	1.96E-02	NaN	"NFATC1,RASD2"
Phospholipase C Signaling	1.54E+00	1.17E-02	NaN	"CD3G,NFATC1,RASD2"
Chronic Myeloid Leukemia Signaling	1.53E+00	1.94E-02	NaN	"CDK6,RASD2"
Mouse Embryonic Stem Cell Pluripotency	1.53E+00	1.94E-02	NaN	"ID2,RASD2"
"PD-1, PD-L1 cancer immunotherapy pathway"	1.51E+00	1.89E-02	NaN	"HLA-A,IL2RB"
Virus Entry via Endocytic Pathways	1.50E+00	1.87E-02	NaN	"HLA-A,RASD2"
Gαs Signaling	1.50E+00	1.87E-02	NaN	"ADRB1,GLP1R"
CDK5 Signaling	1.49E+00	1.85E-02	NaN	"PPP2R2C,RASD2"
Glioma Signaling	1.48E+00	1.82E-02	NaN	"CDK6,RASD2"
G-Protein Coupled Receptor Signaling	1.48E+00	1.11E-02	NaN	"ADRB1,GLP1R,RASD2"
fMLP Signaling in Neutrophils	1.44E+00	1.72E-02	NaN	"NFATC1,RASD2"
Neuroprotective Role of THOP1 in Alzheimer's Disease	1.44E+00	1.72E-02	NaN	"GZMK,HLA-A"
Renin-Angiotensin Signaling	1.42E+00	1.69E-02	NaN	"CCL5,RASD2"
Xenobiotic Metabolism Signaling	1.41E+00	1.05E-02	NaN	"MAF,PPP2R2C,RASD2"
Granzyme B Signaling	1.39E+00	6.25E-02	NaN	PRF1
